2019-06-07 22:50:51,641 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:51,641 INFO  - HHH10001001: Connection properties: {password=****, user=sa}
2019-06-07 22:50:51,642 INFO  - HHH10001003: Autocommit mode: false
2019-06-07 22:50:51,643 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-07 22:50:51,647 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-06-07 22:50:51,986 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@626b1ba9] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:51,990 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@2be9fb14] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:52,044 INFO  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2019-06-07 22:50:52,084 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:52,147 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-07 22:50:52,148 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:52,149 INFO  - HHH10001001: Connection properties: {password=****, user=sa}
2019-06-07 22:50:52,149 INFO  - HHH10001003: Autocommit mode: false
2019-06-07 22:50:52,150 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-07 22:50:52,154 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-06-07 22:50:52,448 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@3e19b9d9] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:52,452 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@3589bda0] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:52,506 INFO  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2019-06-07 22:50:52,540 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:52,591 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-07 22:50:52,592 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:52,593 INFO  - HHH10001001: Connection properties: {password=****, user=sa}
2019-06-07 22:50:52,593 INFO  - HHH10001003: Autocommit mode: false
2019-06-07 22:50:52,594 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-07 22:50:52,600 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-06-07 22:50:52,879 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@1b998bc4] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:52,883 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@7e7a51d4] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:52,941 INFO  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2019-06-07 22:50:52,985 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
